Index,PredictedLabel
0,9
1,2
2,1
3,0
4,2
5,7
6,9
7,3
8,1
9,1
10,9
11,4
12,2
13,3
14,2
15,1
16,4
17,9
18,7
19,8
20,0
21,2
22,4
23,8
24,2
25,0
26,2
27,6
28,0
29,7
30,0
31,2
32,3
33,9
34,2
35,0
36,1
37,4
38,1
39,5
40,8
41,5
42,5
43,4
44,4
45,5
46,3
47,2
48,9
49,0
50,3
51,5
52,0
53,5
54,0
55,2
56,5
57,4
58,2
59,0
60,8
61,5
62,4
63,4
64,3
65,5
66,2
67,8
68,9
69,7
70,3
71,4
72,4
73,0
74,3
75,8
76,7
77,4
78,0
79,8
80,3
81,2
82,4
83,7
84,7
85,9
86,2
87,0
88,3
89,0
90,2
91,4
92,0
93,2
94,7
95,5
96,0
97,6
98,9
99,1
100,3
101,8
102,4
103,1
104,2
105,5
106,2
107,0
108,3
109,2
110,7
111,8
112,8
113,9
114,6
115,1
116,4
117,5
118,9
119,6
120,7
121,1
122,1
123,9
124,9
125,5
126,0
127,4
128,0
129,6
130,4
131,5
132,7
133,3
134,9
135,3
136,2
137,4
138,0
139,3
140,8
141,7
142,9
143,0
144,3
145,9
146,0
147,6
148,7
149,2
150,8
151,1
152,0
153,5
154,2
155,8
156,0
157,4
158,0
159,1
160,3
161,1
162,1
163,3
164,3
165,9
166,2
167,4
168,1
169,9
170,5
171,6
172,2
173,4
174,1
175,2
176,8
177,5
178,9
179,7
180,3
181,9
182,8
183,2
184,7
185,0
186,2
187,3
188,1
189,8
190,2
191,7
192,3
193,0
194,7
195,7
196,9
197,3
198,0
199,3
200,0
201,7
202,3
203,9
204,0
205,6
206,0
207,2
208,3
209,5
210,2
211,4
212,1
213,9
214,4
215,3
216,1
217,0
218,2
219,7
220,0
221,2
222,0
223,2
224,4
225,0
226,9
227,8
228,1
229,7
230,5
231,6
232,8
233,4
234,4
235,7
236,1
237,8
238,2
239,6
240,0
241,7
242,7
243,3
244,6
245,8
246,5
247,0
248,8
249,8
250,7
251,0
252,1
253,1
254,3
255,2
256,0
257,5
258,7
259,7
260,5
261,5
262,3
263,9
264,6
265,0
266,1
267,0
268,4
269,1
270,0
271,4
272,4
273,1
274,9
275,3
276,5
277,8
278,7
279,3
280,6
281,3
282,0
283,4
284,2
285,4
286,7
287,3
288,5
289,8
290,5
291,1
292,4
293,2
294,2
295,4
296,2
297,0
298,8
299,1
300,2
301,9
302,6
303,3
304,3
305,5
306,0
307,2
308,7
309,0
310,0
311,5
312,4
313,2
314,1
315,8
316,5
317,6
318,7
319,2
320,0
321,9
322,4
323,6
324,0
325,3
326,0
327,8
328,8
329,7
330,3
331,2
332,4
333,1
334,7
335,0
336,7
337,2
338,0
339,6
340,7
341,2
342,0
343,2
344,2
345,3
346,7
347,8
348,5
349,6
350,9
351,4
352,5
353,7
354,2
355,8
356,4
357,5
358,0
359,5
360,8
361,5
362,4
363,5
364,2
365,1
366,9
367,9
368,0
369,3
370,5
371,1
372,2
373,9
374,4
375,1
376,2
377,7
378,2
379,4
380,9
381,0
382,8
383,9
384,8
385,0
386,7
387,0
388,9
389,0
390,2
391,6
392,4
393,0
394,5
395,7
396,0
397,8
398,2
399,4
400,3
401,8
402,2
